id,agent,unit,group
22522,agent,unit,2
22523,agent,unit,2
22521,agent,unit,4
22520,agent,unit,2
22525,agent,unit,4
22526,agent,unit,4
22527,agent,unit,3
22529,agent,unit,1
22530,agent,unit,3
22531,agent,unit,2
22532,agent,unit,2
22533,agent,unit,2
22534,agent,unit,2
12067,agent,unit,2
22535,agent,unit,2
12061,agent,unit,2
22537,agent,unit,2
22538,agent,unit,2
22539,agent,unit,2
22540,agent,unit,2
12066,agent,unit,1
12065,agent,unit,3
12064,agent,unit,2
12063,agent,unit,4
12062,agent,unit,3
22542,agent,unit,3
22543,agent,unit,1
22544,agent,unit,4
22545,agent,unit,3
22546,agent,unit,3
22547,agent,unit,3
12073,agent,unit,3
12075,agent,unit,3
12070,agent,unit,4
12074,agent,unit,3
12068,agent,unit,3
22548,agent,unit,3
12071,agent,unit,2
12072,agent,unit,3
12105,agent,unit,2
12106,agent,unit,4
22552,agent,unit,5
12081,agent,unit,4
12124,agent,unit,3
22557,agent,unit,3
22562,agent,unit,3
12082,agent,unit,4
12079,agent,unit,3
22566,agent,unit,5
12083,agent,unit,4
12086,agent,unit,3
12087,agent,unit,4
12089,agent,unit,3
22575,agent,unit,4
22576,agent,unit,3
12125,agent,unit,3
12122,agent,unit,3
12076,agent,unit,3
12084,agent,unit,3
12080,agent,unit,3
12088,agent,unit,3
22580,agent,unit,3
12104,agent,unit,3
22581,agent,unit,3
12101,agent,unit,3
22583,agent,unit,5
12117,agent,unit,3
12121,agent,unit,2
12085,agent,unit,2
12100,agent,unit,3
12120,agent,unit,3
12097,agent,unit,3
12118,agent,unit,3
12099,agent,unit,3
12102,agent,unit,1
12123,agent,unit,4
12077,agent,unit,2
22595,agent,unit,5
12090,agent,unit,4
12103,agent,unit,4
22606,agent,unit,4
22607,agent,unit,4
22608,agent,unit,4
12115,agent,unit,4
12040,agent,unit,3
12109,agent,unit,4
12116,agent,unit,2
12112,agent,unit,4
12078,agent,unit,3
22617,agent,unit,2
12110,agent,unit,4
12111,agent,unit,2
12119,agent,unit,4
12038,agent,unit,2
12043,agent,unit,3
12035,agent,unit,2
12094,agent,unit,1
12098,agent,unit,2
12039,agent,unit,3
12131,agent,unit,3
12113,agent,unit,1
12127,agent,unit,1
12128,agent,unit,2
22625,agent,unit,2
22626,agent,unit,2
22627,agent,unit,2
22628,agent,unit,3
22629,agent,unit,2
22630,agent,unit,2
12093,agent,unit,2
12095,agent,unit,3
12092,agent,unit,4
12036,agent,unit,4
12042,agent,unit,3
12107,agent,unit,3
12130,agent,unit,3
12126,agent,unit,2
12132,agent,unit,3
12129,agent,unit,3
22636,agent,unit,2
12041,agent,unit,2
12037,agent,unit,4
12044,agent,unit,3
12046,agent,unit,3
22652,agent,unit,4
22653,agent,unit,2
22654,agent,unit,5
22655,agent,unit,1
22656,agent,unit,3
22657,agent,unit,3
22658,agent,unit,2
11944,agent,unit,1
